src,dst
input,d1_conv1
d1_conv1,d1_conv2
d1_conv2,d1_conv3
d1_conv2,d1_conv4
d1_conv4,d1_conv5
d1_conv5,d1_conv6
d1_conv6,d1_conv7
d1_conv3,d1_conv8
d1_conv7,d1_conv8
d1_conv8,d2_conv1
d2_conv1,d2_conv2
d2_conv1,d2_conv3
d2_conv3,d2_resblock
d2_resblock,d2_conv4
d2_conv2,d2_conv5
d2_conv4,d2_conv5
d2_conv5,d3_conv1
d3_conv1,d3_conv2
d3_conv1,d3_conv3
d3_conv3,d3_resblock
d3_resblock,d3_conv4
d3_conv2,d3_conv5
d3_conv4,d3_conv5
d3_conv5,d4_conv1
d4_conv1,d4_conv2
d4_conv1,d4_conv3
d4_conv3,d4_resblock
d4_resblock,d4_conv4
d4_conv2,d4_conv5
d4_conv4,d4_conv5
d4_conv5,d5_conv1
d5_conv1,d5_conv2
d5_conv1,d5_conv3
d5_conv3,d5_resblock
d5_resblock,d5_conv4
d5_conv2,d5_conv5
d5_conv4,d5_conv5
d5_conv5,nk_conv1
nk_conv1,nk_conv2
nk_conv2,nk_conv3
nk_conv3,nk_maxpl1
nk_conv3,nk_maxpl2
nk_conv3,nk_maxpl3
nk_conv3,nk_conv4
nk_maxpl1,nk_conv4
nk_maxpl2,nk_conv4
nk_maxpl3,nk_conv4
nk_conv4,nk_conv5
nk_conv5,nk_conv6
nk_conv6,nk_conv7
nk_conv7,nk_upspl1
d4_conv5,nk_conv8
nk_conv8,nk_conv9
nk_upspl1,nk_conv9
nk_conv9,nk_conv10
nk_conv10,nk_conv11
nk_conv11,nk_conv12
nk_conv12,nk_conv13
nk_conv13,nk_conv14
nk_conv14,nk_upspl2
d3_conv5,nk_conv15
nk_conv15,nk_conv16
nk_upspl2,nk_conv16
nk_conv16,nk_conv17
nk_conv17,nk_conv18
nk_conv18,nk_conv19
nk_conv19,nk_conv20
nk_conv20,hd_conv1
nk_conv20,hd_conv3
hd_conv1,hd_conv2
hd_conv3,hd_conv4
nk_conv13,hd_conv4
hd_conv4,hd_conv5
hd_conv5,hd_conv6
hd_conv6,hd_conv7
hd_conv7,hd_conv8
hd_conv8,hd_conv9
hd_conv8,hd_conv11
hd_conv9,hd_conv10
hd_conv11,hd_conv12
nk_conv6,hd_conv12
hd_conv12,hd_conv13
hd_conv13,hd_conv14
hd_conv14,hd_conv15
hd_conv15,hd_conv16
hd_conv16,hd_conv17
hd_conv17,hd_conv18
hd_conv2,decode1
hd_conv10,decode2
hd_conv18,decode3
decode1,non_max_suppression
decode2,non_max_suppression
decode3,non_max_suppression
non_max_suppression,wrapping_up
wrapping_up,output
