layer_name,device
input,0
d1_conv1,0
d1_conv2,1
d1_conv3,2
d1_conv4,3
d1_conv5,4
d1_conv6,5
d1_conv7,6
d1_conv8,7
d2_conv1,8
d2_conv2,9
d2_conv3,10
d2_resblock,11
d2_conv4,12
d2_conv5,13
d3_conv1,14
d3_conv2,15
d3_conv3,16
d3_resblock,17
d3_conv4,18
d3_conv5,19
d4_conv1,20
d4_conv2,21
d4_conv3,22
d4_resblock,23
d4_conv4,24
d4_conv5,25
d5_conv1,26
d5_conv2,27
d5_conv3,28
d5_resblock,29
d5_conv4,30
d5_conv5,31
nk_conv1,32
nk_conv2,33
nk_conv3,34
nk_maxpl1,35
nk_maxpl2,36
nk_maxpl3,37
nk_conv4,38
nk_conv5,39
nk_conv6,40
nk_conv7,41
nk_upspl1,42
nk_conv8,43
nk_conv9,44
nk_conv10,45
nk_conv11,46
nk_conv12,47
nk_conv13,48
nk_conv14,49
nk_upspl2,50
nk_conv15,51
nk_conv16,52
nk_conv17,53
nk_conv18,54
nk_conv19,55
nk_conv20,56
hd_conv1,57
hd_conv2,58
hd_conv3,59
hd_conv4,60
hd_conv5,61
hd_conv6,62
hd_conv7,63
hd_conv8,64
hd_conv9,65
hd_conv10,66
hd_conv11,67
hd_conv12,68
hd_conv13,69
hd_conv14,70
hd_conv15,71
hd_conv16,72
hd_conv17,73
hd_conv18,74
decode1,75
decode2,76
decode3,77
non_max_suppression,78
wrapping_up,79
output,79
