layer_name,time,cpu_mem,cuda_mem,size,MACs
input,0,0,0,0,0
d1_conv1,0.0003,0,554.5000,45.1250,1030
d1_conv2,0.0003,0,276.5300,22.5625,1720
d1_conv3,0.0003,0,276.5300,22.5625,390.37
d1_conv4,0.0003,0,276.5300,22.5625,390.37
d1_conv5,0.0003,0,135.8900,11.2813,195.18
d1_conv6,0.0003,0,270.9200,22.5625,1720
d1_conv7,0.0003,0,271.2500,22.5625,390.37
d1_conv8,0.0003,0,271.2500,22.5625,768.9
d2_conv1,0.0003,0,139.8900,11.2813,4480
d2_conv2,0.0003,0,72.2100,5.6407,192.23
d2_conv3,0.0003,0,67.8100,5.6407,192.23
d2_resblock,0.0012,0,285.7200,5.6407,1900
d2_conv4,0.0003,0,68.6900,5.6407,97.59
d2_conv5,0.0003,0,135.4900,11.2813,384.45
d3_conv1,0.0003,0,67.7200,5.6407,1710
d3_conv2,0.0003,0,36.9900,2.8204,190.75
d3_conv3,0.0003,0,36.9900,2.8204,190.75
d3_resblock,0.0045,0,585.4900,2.8204,7590
d3_conv4,0.0003,0,35.9500,2.8204,96.11
d3_conv5,0.0003,0,67.7200,5.6407,381.49
d4_conv1,0.0003,0,33.8500,2.8204,1700
d4_conv2,0.0003,0,17.2900,1.4102,190.01
d4_conv3,0.0003,0,17.2900,1.4102,190.01
d4_resblock,0.0045,0,337.4700,1.4102,7580
d4_conv4,0.0003,0,17.1700,1.4102,95.37
d4_conv5,0.0008,0,34.6300,2.8204,380.01
d5_conv1,0.0003,0,17.0500,1.4102,1700
d5_conv2,0.0003,0,8.6825,0.7051,189.64
d5_conv3,0.0003,0,8.6825,0.7051,189.64
d5_resblock,0.0023,0,174.6300,0.7051,3790
d5_conv4,0.0003,0,8.6825,0.7051,95.0
d5_conv5,0.0003,0,17.3200,1.4102,379.28
nk_conv1,0.0002,0,6.5165,0.7051,189.82
nk_conv2,0.0002,0,62.8800,1.4102,1700
nk_conv3,0.0002,0,6.5165,0.7051,189.82
nk_maxpl1,0.0000,0,4.2400,0.7051,0.184
nk_maxpl2,0.0000,0,4.2400,0.7051,0.184
nk_maxpl3,0.0000,0,4.2800,0.7051,0.184
nk_conv4,0.0002,0,6.5165,0.7051,379.09
nk_conv5,0.0002,0,63.7700,1.4102,1700
nk_conv6,0.0002,0,6.5165,0.7051,189.82
nk_conv7,0.0002,0,3.2595,0.3526,47.59
nk_upspl1,0.0000,0,1.4100,1.4102,0
nk_conv8,0.0002,0,12.7000,1.4102,190.38
nk_conv9,0.0002,0,13.7400,1.4102,190.38
nk_conv10,0.0002,0,37.8900,2.8204,1710
nk_conv11,0.0002,0,12.7000,1.4102,190.38
nk_conv12,0.0015,0,37.8900,2.8204,1710
nk_conv13,0.0002,0,12.7000,1.4102,190.38
nk_conv14,0.0002,0,6.5105,0.7051,47.87
nk_upspl2,0.0000,0,2.8200,2.8204,0
nk_conv15,0.0002,0,25.4100,2.8204,191.49
nk_conv16,0.0002,0,25.4100,2.8204,191.49
nk_conv17,0.0020,0,54.9300,5.6407,1710
nk_conv18,0.0002,0,25.4100,2.8204,191.49
nk_conv19,0.0039,0,56.9900,5.6407,1710
nk_conv20,0.0002,0,25.4100,2.8204,191.49
hd_conv1,0.0002,0,53.8900,5.6407,1710
hd_conv2,0.0001,0,22.5140,5.6186,378.53
hd_conv3,0.0002,0,12.7000,1.4102,426.96
hd_conv4,0.0002,0,12.7000,1.4102,190.38
hd_conv5,0.0040,0,37.8900,2.8204,1710
hd_conv6,0.0002,0,12.7000,1.4102,190.38
hd_conv7,0.0026,0,37.8900,2.8204,1710
hd_conv8,0.0002,0,12.7000,1.4102,190.38
hd_conv9,0.0002,0,37.8900,2.8204,1710
hd_conv10,0.0001,0,5.6485,1.4047,188.9
hd_conv11,0.0022,0,6.5165,0.7051,426.41
hd_conv12,0.0002,0,6.5165,0.7051,189.82
hd_conv13,0.0002,0,62.7300,1.4102,1710
hd_conv14,0.0074,0,6.5165,0.7051,189.82
hd_conv15,0.0056,0,62.7300,1.4102,1710
hd_conv16,0.0002,0,6.5165,0.7051,189.82
hd_conv17,0.0020,0,62.7300,1.4102,1710
hd_conv18,0.0001,0,1.4425,0.3512,94.36
decode1,0.0018,0.011204,0.5180,0.1644,0
decode2,0.0010,0.043098,1.7200,0.6576,0
decode3,0.0008,0.170266,6.7255,2.6303,0
non_max_suppression,0.0056,0.853784,0.01250,0.01927,0
wrapping_up,0.0024,0.000372,0,0,0
output,0,0,0,0,0
